category,subtype,indicator,version_or_installer_type,serial,CN,thumbprint
pdfeditor.js,obfuscated (malicious),ac1042c8e64165945b0b07972b16d9d6d0235110d9ff0701f889fcc30cfa4859,,,,
pdfeditor.js,obfuscated (malicious),b3ef2e11c855f4812e64230632f125db5e7da1df3e9e34fdb2f088ebe5e16603,,,,
pdfeditor.js,obfuscated (malicious),cc5f29470a11fadf33e39fc0561ae781b1759ff3a314251111356fe51007945e,,,,
pdfeditor.js,obfuscated (malicious),e954548717c4c538b53ae4cc845cbfe5406b78ede79e4fd509ad2f2dfc4429ab,,,,
pdfeditor.js,obfuscated (malicious),f3f6d8f2d22040811bd3d06f488cd84f146f3093d6ac79bf68cc522e73c88765,,,,
appsuite-print.js,obfuscated (malicious),136836f64f7559868e01db4cbbef9f90f81bdea1278d6605fa13654134279e0c,,,,
Utilityaddon.node,,6022fd372dca7d6d366d9df894e8313b7f0bd821035dd9fa7c860b14e8c414f2,,,,
Utilityaddon.node,,9becf480290d3ae7d368d291999c81aa9f47944a90633567e54c4049bcfa3eb4,,,,
Utilityaddon.node,,2e846b8861d66d9bcaaf9615dc03798cf7f9c3231f2a1d2d31e3e652b954d4f5,,,,
S3-Forge,installer,58273bdab14074b1ee6592116d3611a625c3dad5fcad004ca2a32962950ff845,Squirrel,,,
S3-Forge,installer,5dddeedb394e61817ca8c8abe09532b0c8c5e1f9f4c08cedc5b62dd5e8e83505,Squirrel,,,
S3-Forge,installer,86a6b355d86fb0d3544b9bdd00a90b308f2efb63abf6845c70d8acd87603e23d,NSIS,,,
S3-Forge,installer,be138ec40b1061ff0de92942d2496f6ae9cf98e6f173eb4d58fdf982a8d0648a,Squirrel,,,
S3-Forge,installer,b0f8fcb1622eef0a6b398425dd13cbf608771ba2042f32ec3282933a141eec77,,,,
C&C domains,,5b7crp[.]com,,,,
C&C domains,,9mdp5f[.]com,,,,
C&C domains,,abf26u[.]com,,,,
C&C domains,,mka3e8[.]com,,,,
C&C domains,,y2iax5[.]com,,,,
Signing certificates,SHA256,16f854f6399f1c104446d3a3e2d25eb2088bf665186d892903f50ff4ed994181,,582C3A4B9934B7EC1028B638,Echo Infini Sdn. Bhd.,A2278EB6A438DC528F3EBFEB238028C474401BEF
Signing certificates,SHA256,b8bbf5aecfe0f437758f3f200539e51acfccf5ad9212c20967cfa4037b5a7e0d,,3474143F285FC35B0B1AE6AB407160D1,ECHO INFINI SDN. BHD.,7533D9D9C5241D0E031C21304C6A3FF064F79072
Signing certificates,SHA256,4d986e01e40ebcc495a1c4d98d7ee370b787dbe05da2954c0d8d49c5dcd4b345,,3FEBAE41896885E91FDB20E0950C6054,ECHO INFINI SDN. BHD.,29338264019B62D11F9C6C4B5A69B78B899B4DF6
Signing certificates,SHA256,ce27671c966d723f45522525fa4dd8912d09cae0f62b893870deb7ee1e7f4e0c,,28C7E66012DAB05A4A953D88F185ED2C,GLINT SOFTWARE SDN. BHD.,99201EEE9807D24851026A8E8884E4C40245FAC7
Signing certificates,SHA256,018ea246585f9def1a14a2690afab6f9e8fcbf1febb6bf9b8463a204a50a5411,,3909D81C6A38BFFAC887D96C6593F51D,Byte Media Sdn. Bhd.,107316C0EBEC469482B99FB8935CDB2EC327DCAA
Signing certificates,SHA256,003a69a0a2de87bcfd3982da1068478a8c2828eb07dc24edd93b419eb37d1980,,0DEFC375DC6DCDAED0CE4B249127755A,Summit Nexus Holdings LLC,76C675514EEC3A27A4E551A77ED30FBB0DC43A01
Signing certificates,SHA256,800a745e7a9f34064b79408aeac2b87515c49e5627dc344124c017ce86f43d3c,,71F4DED233C732913D3EF342,Byte Media Sdn. Bhd.,17F77710C888E30917F71F7909086BCC2D131F61
Signing certificates,SHA256,1946d13a16aed7247ed341db933f34b61fc9bb1dcdbd81102c9c54f0ba566851,,3F744CB0496EB63557494B807C0681BE,Byte Media Sdn Bhd,61CE7E9E22608EBC708C42B1CE5E842395C437D1
