Type,Value,Description
Domain name,forticlient-for-mac.com,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient-vpn.fr,Suspected phishing domain for Fortinet - FortiClient
Domain name,vpn-fortinet.github.io,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient-download.fr,Suspected phishing domain for Fortinet - FortiClient
Domain name,forti-vpn.nl,Suspected phishing domain for Fortinet - FortiClient
Domain name,fortivpn.com.tr,Suspected phishing domain for Fortinet - FortiClient
Domain name,fortinet-vpn.com,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient-vpn.de,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient.es,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient.gr,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient-download.de,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient.se,Suspected phishing domain for Fortinet - FortiClient
Domain name,foticlient.es,Suspected phishing domain for Fortinet - FortiClient
Domain name,forticlient-vpn.nl,Suspected phishing domain for Fortinet - FortiClient
Domain name,vpn-forticlient.nl,Suspected phishing domain for Fortinet - FortiClient
Domain name,openvpn-connect.com, Suspected phishing domain for OpenVPN
Domain name,globalprotect-telecharger.github.io,Suspected phishing domain for Palo Alto GlobalProtect
Domain name,globalprotect-descarga.github.io,Suspected phishing domain for Palo Alto GlobalProtect
Domain name,globalprotect.es,Suspected phishing domain for Palo Alto GlobalProtect
Domain name,globalprotect-vpn.github.io,Suspected phishing domain for Palo Alto GlobalProtect
Domain name,citrix-gateway.net,Suspected phishing domain for Citrix NetScaler Gateway
Domain name,citrix-secure-access.org,Suspected phishing domain for Citrix Secure Access
Domain name,citrix-secure-access.com,Suspected phishing domain for Citrix Secure Access
